Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
2022-06-04,2,3515000,900,2 out of 3,Super Area,Kelapa Gading,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-04-27,1,902500,200,2 out of 2,Carpet Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,2,2850000,700,1 out of 5,Super Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-14,2,3344000,1000,1 out of 4,Carpet Area,Cilandak,Palembang,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-06-10,3,6650000,1700,10 out of 13,Carpet Area,Wonokromo,Malang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-27,2,1520000,600,2 out of 3,Super Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-05,1,1330000,650,2 out of 5,Super Area,Panakkukang,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-05,2,2850000,750,Ground out of 2,Super Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-10,3,5700000,1750,1 out of 3,Super Area,Kelapa Gading,Medan,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-02,3,19000000,1950,3 out of 3,Carpet Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-23,2,3420000,1065,2 out of 5,Carpet Area,Menteng,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-23,2,1520000,600,Ground out of 1,Super Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,2,1710000,600,2 out of 4,Super Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-27,1,1140000,500,Ground out of 2,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-04,2,1425000,600,Ground out of 2,Super Area,Panakkukang,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-04,1,2850000,600,5 out of 5,Carpet Area,Umbulharjo,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-07-06,2,1900000,900,1 out of 1,Carpet Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-23,2,2660000,500,Ground out of 3,Super Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,1,1330000,600,2 out of 3,Super Area,Menteng,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-06,3,11400000,1710,6 out of 18,Carpet Area,Cilandak,Semarang,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-23,1,1140000,600,3 out of 4,Super Area,Wonokromo,Makassar,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-13,3,3230000,1100,1 out of 3,Carpet Area,Lowokwaru,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-06,2,2850000,920,4 out of 4,Super Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-30,1,1558000,750,2 out of 4,Super Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-07,1,1615000,300,2 out of 3,Super Area,Kelapa Gading,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,3,3800000,1660,1 out of 3,Carpet Area,Kebayoran Baru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,1,1520000,400,2 out of 3,Super Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-29,2,3800000,300,1 out of 3,Super Area,Cilandak,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-26,1,2185000,300,1 out of 2,Carpet Area,Wonokromo,Medan,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-05-16,3,5700000,2000,3 out of 3,Carpet Area,Lowokwaru,Semarang,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-12,3,4180000,1200,4 out of 4,Carpet Area,Panakkukang,Makassar,Semi-Furnished,Bachelors,3,Contact Owner,IDR
2022-04-28,1,1235000,300,2 out of 3,Super Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-25,1,1235000,700,Ground out of 1,Super Area,Kelapa Gading,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-18,2,3040000,850,Ground out of 2,Super Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-26,1,4560000,700,7 out of 7,Carpet Area,Menteng,Malang,Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-07-07,1,2850000,455,2 out of 4,Carpet Area,Cilandak,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-26,2,3420000,1000,Ground out of 4,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-30,1,1615000,600,1 out of 2,Super Area,Lowokwaru,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,1,760000,250,Ground out of 2,Super Area,Panakkukang,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,1,950000,400,1 out of 2,Super Area,Umbulharjo,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-04,2,4180000,1200,3 out of 5,Carpet Area,Kelapa Gading,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-04-27,1,2280000,500,2 out of 5,Carpet Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-05-23,1,1710000,350,2 out of 3,Super Area,Menteng,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-29,2,1425000,1100,Ground out of 3,Super Area,Cilandak,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,2,5700000,1650,2 out of 3,Super Area,Wonokromo,Malang,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-05,4,2660000,1000,Ground out of 4,Super Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-19,2,1757500,500,2 out of 3,Super Area,Panakkukang,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-29,1,2470000,700,1 out of 5,Super Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,2,2280000,1200,Ground out of 5,Super Area,Kelapa Gading,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-04-27,1,2280000,600,1 out of 2,Super Area,Kebayoran Baru,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-01,2,1900000,925,2 out of 5,Super Area,Menteng,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-09,3,11400000,2400,Ground out of 8,Carpet Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-05-23,3,6650000,1500,1 out of 9,Carpet Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-27,2,2280000,600,Ground out of 4,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-27,1,2660000,435,3 out of 5,Carpet Area,Panakkukang,Malang,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-14,1,1520000,650,Ground out of 1,Carpet Area,Umbulharjo,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-15,2,2090000,700,Ground out of 2,Carpet Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-30,2,3800000,890,5 out of 12,Carpet Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-23,1,2375000,600,3 out of 4,Super Area,Menteng,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-23,2,6650000,1250,3 out of 4,Carpet Area,Cilandak,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-04,3,4940000,1350,2 out of 5,Carpet Area,Wonokromo,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-06,3,16150000,2600,8 out of 18,Carpet Area,Lowokwaru,Yogyakarta,Semi-Furnished,Family,4,Contact Agent,IDR
2022-05-27,1,2660000,440,2 out of 5,Carpet Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-18,2,4180000,1150,1 out of 4,Carpet Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-16,1,1330000,450,2 out of 4,Super Area,Kelapa Gading,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-29,2,3040000,1150,3 out of 5,Super Area,Kebayoran Baru,Jakarta,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-28,2,2090000,600,2 out of 5,Carpet Area,Menteng,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-30,2,3800000,980,4 out of 12,Carpet Area,Cilandak,Bandung,Semi-Furnished,Family,2,Contact Agent,IDR
2022-07-05,3,11400000,1850,3 out of 3,Carpet Area,Wonokromo,Medan,Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-31,2,950000,625,1 out of 3,Carpet Area,Lowokwaru,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-27,1,760000,100,2 out of 3,Super Area,Panakkukang,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-05,2,2850000,1200,1 out of 1,Carpet Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-01,3,3420000,1200,Ground out of 4,Carpet Area,Kelapa Gading,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-14,2,2280000,1080,1 out of 2,Carpet Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-05-14,1,1615000,700,1 out of 3,Super Area,Menteng,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-05,2,2090000,800,Ground out of 1,Super Area,Cilandak,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-05,3,7980000,1880,14 out of 14,Super Area,Wonokromo,Surabaya,Semi-Furnished,Family,2,Contact Owner,IDR
2022-04-29,2,4750000,1305,1 out of 8,Super Area,Lowokwaru,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-04-29,1,1615000,600,3 out of 5,Super Area,Panakkukang,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-08,2,2375000,950,2 out of 8,Super Area,Umbulharjo,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-20,2,3420000,1188,Ground out of 4,Super Area,Kelapa Gading,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-23,1,1140000,500,2 out of 3,Super Area,Kebayoran Baru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,2,1710000,875,Ground out of 1,Super Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-23,3,10260000,2100,3 out of 4,Carpet Area,Cilandak,Palembang,Unfurnished,Bachelors,3,Contact Agent,IDR
2022-05-05,3,4180000,1200,2 out of 4,Super Area,Wonokromo,Malang,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-06,3,22800000,2390,3 out of 17,Super Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-20,1,1330000,600,1 out of 3,Super Area,Panakkukang,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-10,2,5320000,1150,1 out of 2,Carpet Area,Umbulharjo,Bandung,Semi-Furnished,Family,2,Contact Agent,IDR
2022-06-12,3,10450000,1788,Ground out of 1,Carpet Area,Kelapa Gading,Medan,Semi-Furnished,Family,3,Contact Agent,IDR
2022-05-23,2,3610000,1250,3 out of 3,Super Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-04,1,2090000,600,4 out of 5,Carpet Area,Menteng,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-07-04,3,3420000,1600,2 out of 4,Super Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-06,3,13300000,1520,23 out of 25,Carpet Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
2022-06-15,1,2280000,550,1 out of 3,Carpet Area,Lowokwaru,Palembang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-05-05,2,3420000,1100,2 out of 4,Super Area,Panakkukang,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-12,2,5700000,1100,2 out of 5,Carpet Area,Umbulharjo,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-04,2,1900000,1100,Ground out of 3,Super Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-05,1,1140000,400,1 out of 3,Super Area,Kebayoran Baru,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-07,1,855000,300,3 out of 3,Super Area,Menteng,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-16,1,1520000,500,Ground out of 3,Super Area,Cilandak,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-19,2,3800000,1100,3 out of 4,Carpet Area,Wonokromo,Makassar,Furnished,Bachelors,2,Contact Agent,IDR
2022-06-27,2,3325000,1000,1 out of 3,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Family,2,Contact Owner,IDR
2022-05-27,2,4180000,850,Ground out of 4,Super Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-27,2,3230000,1020,2 out of 5,Super Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-19,2,4180000,1250,1 out of 1,Super Area,Kelapa Gading,Malang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-05-05,3,4560000,1400,2 out of 4,Super Area,Kebayoran Baru,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-05,1,2280000,600,1 out of 3,Super Area,Menteng,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-20,1,855000,200,4 out of 5,Super Area,Cilandak,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,1,950000,300,Ground out of 3,Super Area,Wonokromo,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,1,1140000,400,1 out of 3,Super Area,Lowokwaru,Semarang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-14,1,2090000,450,3 out of 4,Super Area,Panakkukang,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-22,2,3800000,1180,1 out of 4,Super Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-06,3,6650000,1460,6 out of 12,Carpet Area,Kelapa Gading,Denpasar,Unfurnished,Bachelors,3,Contact Agent,IDR
2022-05-23,3,4560000,1464,2 out of 5,Carpet Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-24,2,1900000,700,Lower Basement out of 3,Carpet Area,Menteng,Malang,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-06-02,2,3040000,680,1 out of 10,Carpet Area,Cilandak,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-12,3,19000000,2750,5 out of 9,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors,4,Contact Agent,IDR
2022-05-23,2,2660000,800,Ground out of 2,Super Area,Lowokwaru,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-07,2,1425000,600,3 out of 4,Carpet Area,Panakkukang,Medan,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-05-15,3,3040000,1200,1 out of 4,Carpet Area,Umbulharjo,Semarang,Unfurnished,Bachelors,3,Contact Owner,IDR
2022-05-12,4,12350000,3200,18 out of 19,Carpet Area,Kelapa Gading,Makassar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-10,2,3420000,1800,1 out of 3,Super Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,1,1520000,500,2 out of 2,Super Area,Menteng,Denpasar,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,2,2090000,1200,Ground out of 2,Super Area,Cilandak,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-08,1,1520000,750,1 out of 3,Super Area,Wonokromo,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-29,1,2470000,700,1 out of 5,Super Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-20,2,5700000,1000,12 out of 23,Carpet Area,Panakkukang,Surabaya,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-06-24,2,2660000,800,1 out of 3,Super Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-30,1,3800000,200,Ground out of 2,Super Area,Kelapa Gading,Medan,Furnished,Bachelors,1,Contact Owner,IDR
2022-06-26,3,15200000,1800,1 out of 3,Carpet Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-08,1,1805000,400,2 out of 4,Carpet Area,Menteng,Makassar,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-08,3,2660000,600,2 out of 4,Carpet Area,Cilandak,Yogyakarta,Unfurnished,Bachelors,3,Contact Agent,IDR
2022-05-28,3,12350000,1550,1 out of 3,Carpet Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-07-01,2,3515000,650,2 out of 4,Carpet Area,Lowokwaru,Palembang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-07-03,2,7600000,850,2 out of 4,Carpet Area,Panakkukang,Malang,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-12,4,17100000,2000,Ground out of 4,Carpet Area,Umbulharjo,Jakarta,Unfurnished,Bachelors,4,Contact Agent,IDR
2022-05-14,1,665000,180,Ground out of 2,Super Area,Kelapa Gading,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-09,3,4750000,140,Ground out of 3,Carpet Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors,2,Contact Agent,IDR
2022-07-04,1,1710000,450,1 out of 4,Carpet Area,Menteng,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-20,3,17100000,2500,1 out of 3,Carpet Area,Cilandak,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-06,1,4180000,720,3 out of 3,Carpet Area,Wonokromo,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-04,2,2280000,400,2 out of 4,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors,1,Contact Agent,IDR
2022-06-05,2,2090000,450,1 out of 4,Carpet Area,Panakkukang,Denpasar,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-04-30,1,3800000,250,1 out of 1,Carpet Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-18,4,49400000,3000,4 out of 4,Super Area,Kelapa Gading,Malang,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
2022-05-12,2,2090000,550,3 out of 5,Carpet Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-05-04,2,1900000,450,3 out of 4,Carpet Area,Menteng,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-25,3,11400000,2500,2 out of 3,Carpet Area,Cilandak,Bandung,Unfurnished,Bachelors,3,Contact Agent,IDR
2022-06-20,4,66500000,800,1 out of 4,Super Area,Wonokromo,Medan,Unfurnished,Bachelors/Family,4,Contact Agent,IDR
2022-06-27,2,3040000,100,3 out of 3,Super Area,Lowokwaru,Semarang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-05-14,1,3040000,400,2 out of 3,Carpet Area,Panakkukang,Makassar,Furnished,Bachelors,1,Contact Owner,IDR
2022-06-12,2,2280000,750,1 out of 3,Carpet Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-07-07,1,1520000,400,1 out of 4,Carpet Area,Kelapa Gading,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-30,3,2660000,1100,Ground out of 3,Carpet Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-08,1,2831000,450,Ground out of 5,Carpet Area,Menteng,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-27,2,2850000,850,3 out of 3,Carpet Area,Cilandak,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-09,3,1900000,600,3 out of 4,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-13,2,7600000,750,1 out of 4,Carpet Area,Lowokwaru,Bandung,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-29,1,1710000,500,1 out of 4,Carpet Area,Panakkukang,Medan,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-06-17,1,1330000,350,2 out of 4,Carpet Area,Umbulharjo,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-04,2,2565000,623,2 out of 3,Carpet Area,Kelapa Gading,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-16,3,18050000,2400,3 out of 4,Carpet Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-05-18,1,3800000,75,2 out of 4,Carpet Area,Menteng,Denpasar,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-04-27,2,1425000,450,1 out of 5,Carpet Area,Cilandak,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-30,2,1710000,445,4 out of 4,Carpet Area,Wonokromo,Malang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-04,3,15200000,300,1 out of 3,Carpet Area,Lowokwaru,Jakarta,Furnished,Bachelors,3,Contact Agent,IDR
2022-05-31,3,9500000,1670,3 out of 4,Super Area,Panakkukang,Surabaya,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-24,1,2470000,550,1 out of 4,Carpet Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-05-18,1,2280000,350,4 out of 4,Carpet Area,Kelapa Gading,Medan,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-05-18,2,3040000,650,2 out of 4,Carpet Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-31,2,2470000,70,1 out of 3,Super Area,Menteng,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-04,2,5510000,100,1 out of 3,Carpet Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-08,3,3420000,800,2 out of 3,Super Area,Wonokromo,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-10,2,1615000,60,2 out of 2,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,3,5130000,2000,1 out of 3,Carpet Area,Panakkukang,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-09,2,3420000,600,1 out of 4,Carpet Area,Umbulharjo,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-07,1,2185000,450,3 out of 4,Carpet Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-07-07,2,15200000,2200,1 out of 4,Carpet Area,Kebayoran Baru,Bandung,Unfurnished,Bachelors,3,Contact Agent,IDR
2022-06-20,2,2945000,600,1 out of 4,Carpet Area,Menteng,Medan,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-07-07,4,10450000,2000,2 out of 4,Carpet Area,Cilandak,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-01,2,3800000,800,3 out of 4,Super Area,Wonokromo,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-08,3,6650000,170,4 out of 4,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-18,2,7220000,150,Ground out of 4,Carpet Area,Panakkukang,Denpasar,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-04,2,3040000,650,3 out of 4,Carpet Area,Umbulharjo,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-21,3,9500000,1250,2 out of 4,Carpet Area,Kelapa Gading,Malang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-17,1,1805000,600,2 out of 4,Super Area,Kebayoran Baru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-07,4,17100000,2100,3 out of 3,Carpet Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
2022-06-08,1,1900000,450,3 out of 4,Super Area,Cilandak,Bandung,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-12,2,4750000,100,2 out of 4,Carpet Area,Wonokromo,Medan,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-05-14,1,5700000,650,3 out of 4,Super Area,Lowokwaru,Semarang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-18,2,2280000,48,1 out of 3,Super Area,Panakkukang,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-07,2,3135000,550,4 out of 4,Carpet Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,1,855000,240,1 out of 2,Super Area,Kelapa Gading,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-22,2,5700000,700,3 out of 3,Carpet Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-07-03,1,2280000,48,1 out of 2,Super Area,Menteng,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,2,4370000,100,Ground out of 3,Super Area,Cilandak,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-18,3,13300000,1901,9 out of 11,Super Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
